reference_number,watch_URL,brand,parent_model,specific_model,nickname,marketing_name,currency,price,image_URL,made_in,case_material,diameter,between_lugs,case_thickness,water_resistance,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description
B113/03043 - 113.901.69/0F01 GG69G,https://www.corum-watches.com/collections/golden-bridge/43/B113_03043-white-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge 43, White Gold Diamonds,,USD,97570.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_03043_2000x1300.jpg,Switzerland," 18K white gold, sapphire case middle, double antireflective sapphire crystal, sapphire case back, 84 round diamonds, ~ 2.14 ct",  43 mm,22/18 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
B113/03332 - 113.993.69/0F03 GG69G,https://www.corum-watches.com/collections/golden-bridge/43/B113_03332-white-gold-baguette,Corum,Golden Bridge collection,Golden Bridge 43, White Gold Baguette ,Limited edition: XX/18,USD,172700.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/43/B113_03332_2000x1300.jpg,Switzerland," 18K white gold, sapphire case middle, double antireflective sapphire, sapphire caseback, 96 baguette-cut blue sapphires, ~ 6.38 ct",  43 mm,22/18 mm,  9.10 mm,  30 meters / 3 ATM,Alligator leather,Blue,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Since the launch of the Golden Bridge in 1980, the iconic timepiece has been offered in a barrel or rectangular shaped case to show off the ace up Switzerland’s watchmaking sleeve for all to see. More than 35 years after it was first created, the Golden Bridge Collection has been enhanced with a round case of 43 mm in diameter, bridging two worlds of excellence: watchmaking and architecture.
Symbolising a bridge suspended between cultures and civilisations, CORUM's baguette movement underscores the link that unites the two arts, nourished by excellence, and puts the spotlight on the delicacy of the baguette movement, its gold bridges and plate."
B113/03652 - 113.000.69/0F03 DG99G,https://www.corum-watches.com/collections/golden-bridge/39/B113_03652-white-gold-full-diamonds,Corum,Golden Bridge collection,Golden Bridge 39, White Gold Full Diamonds,,USD,156310.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/39/B113_03652_2000x1300.jpg,Switzerland," 18K white gold, double antireflective sapphire crystal, sapphire case back, 76 round diamonds, ~ 1.51 ct",  39 mm,20/16 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Blue,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Following the launch in 2016 of the Golden Bridge Round in 43mm, CORUM offers an additional model in case size of 39mm for those who prefer a smaller case size and available in a choice of several materials and colours.
The combination of round case and beautifully engraved and finished inline movement turned on its side perfectly complement one another, while the extra embellishment of precious resin and diamonds surrounding the fully visible caliber add color, sparkle, shine, and Art Deco-inspired eye-catching brilliance."
B113/03787 - 113.000.85/0F17 DV98R,https://www.corum-watches.com/collections/golden-bridge/39/b113_03787-rose-gold-full-diamonds,Corum,Golden Bridge collection,Golden Bridge 39, Rose Gold Full Diamonds,,USD,125510.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/39/B113_03787_2000x1300.jpg,Switzerland," 5N 18K rose gold, double antireflective sapphire crystal, sapphire case back, 76 round diamonds, ~ 1.51 ct",  39 mm,20/16 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Green,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Following the launch in 2016 of the Golden Bridge Round in 43mm, CORUM offers an additional model in case size of 39mm for those who prefer a smaller case size and available in a choice of several materials and colours.
The combination of round case and beautifully engraved and finished inline movement turned on its side perfectly complement one another, while the extra embellishment of precious resin and diamonds surrounding the fully visible caliber add color, sparkle, shine, and Art Deco-inspired eye-catching brilliance."
B113/03200 - 113.000.85/0F08 DR91R,https://www.corum-watches.com/collections/golden-bridge/39/B113_03200-rose-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge 39, Rose Gold Diamonds,,USD,72160.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/39/B113_03200_2000x1300_2.jpg,Switzerland," 5N 18K rose gold, double antireflective sapphire, sapphire caseback, 76 round diamonds, ~ 1.51 ct",  39 mm,20/16 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Pink,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Following the launch in 2016 of the Golden Bridge Round in 43mm, CORUM offers an additional model in case size of 39mm for those who prefer a smaller case size and available in a choice of several materials and colours.
The combination of round case and beautifully engraved and finished inline movement turned on its side perfectly complement one another, while the extra embellishment of precious resin and diamonds surrounding the fully visible caliber add color, sparkle, shine, and Art Deco-inspired eye-catching brilliance."
B113/03292 - 113.000.85/0F17 DV91R,https://www.corum-watches.com/collections/golden-bridge/39/B113_03292-rose-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge 39, Rose Gold Diamonds,,USD,72160.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/39/B113_03292_2000x1300_2.jpg,Switzerland," 5N 18K rose gold, double antireflective sapphire, sapphire caseback, 76 round diamonds, ~ 1.51 ct",  39 mm,20/16 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Green,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Following the launch in 2016 of the Golden Bridge Round in 43mm, CORUM offers an additional model in case size of 39mm for those who prefer a smaller case size and available in a choice of several materials and colours.
The combination of round case and beautifully engraved and finished inline movement turned on its side perfectly complement one another, while the extra embellishment of precious resin and diamonds surrounding the fully visible caliber add color, sparkle, shine, and Art Deco-inspired eye-catching brilliance."
B113/03278 - 113.000.69/0F03 BD91G,https://www.corum-watches.com/collections/golden-bridge/39/B113_03278-white-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge 39, White Gold Diamonds,,USD,80300.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/39/B113_03278_2000x1300_2.jpg,Switzerland," 18K white gold, double antireflective sapphire, sapphire caseback, 76 round diamonds, ~ 1.51 ct",  39 mm,20/16 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Blue,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Following the launch in 2016 of the Golden Bridge Round in 43mm, CORUM offers an additional model in case size of 39mm for those who prefer a smaller case size and available in a choice of several materials and colours.
The combination of round case and beautifully engraved and finished inline movement turned on its side perfectly complement one another, while the extra embellishment of precious resin and diamonds surrounding the fully visible caliber add color, sparkle, shine, and Art Deco-inspired eye-catching brilliance."
B113/03852 - 113.001.69/0F03 BD91G,https://www.corum-watches.com/collections/golden-bridge/39/B113_03852-white-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge 39, White Gold Diamonds,,USD,78100.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/39/B113_03852_2000x1300_2.jpg,Switzerland," 18K white gold, 28 round diamonds, ~ 0.41 ct, 48 multicolor sapphires, ~ 1.23 ct",  39 mm,20/16 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Blue,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Following the launch in 2016 of the Golden Bridge Round in 43mm, CORUM offers an additional model in case size of 39mm for those who prefer a smaller case size and available in a choice of several materials and colours.
The combination of round case and beautifully engraved and finished inline movement turned on its side perfectly complement one another, while the extra embellishment of precious resin and diamonds surrounding the fully visible caliber add color, sparkle, shine, and Art Deco-inspired eye-catching brilliance."
B113/03851 - 113.001.69/0F03 DB98G,https://www.corum-watches.com/collections/golden-bridge/39/B113_03851-white-gold-full-diamonds,Corum,Golden Bridge collection,Golden Bridge 39, White Gold Full Diamonds,,USD,124410.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/39/B113_03851_2000x1300.jpg,Switzerland," 18K white gold, 28 round diamonds, ~ 0.41 ct, 48 multicolor sapphires, ~ 1.23 ct",  39 mm,20/16 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,Blue,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Following the launch in 2016 of the Golden Bridge Round in 43mm, CORUM offers an additional model in case size of 39mm for those who prefer a smaller case size and available in a choice of several materials and colours.
The combination of round case and beautifully engraved and finished inline movement turned on its side perfectly complement one another, while the extra embellishment of precious resin and diamonds surrounding the fully visible caliber add color, sparkle, shine, and Art Deco-inspired eye-catching brilliance."
B113/03404 - 113.001.69/0F09 DB91G,https://www.corum-watches.com/collections/golden-bridge/39/B113_03404-white-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge 39, White Gold Diamonds,,USD,81950.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/39/B113_03404_2000x1300_2.jpg,Switzerland," 18K white gold, double antireflective sapphire, sapphire caseback, 28 round diamonds, ~ 0.41 ct, 48 multicolor sapphires, ~ 1.23 ct",  39 mm,20/16 mm,  8.80 mm,  30 meters / 3 ATM,Alligator leather,White,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Following the launch in 2016 of the Golden Bridge Round in 43mm, CORUM offers an additional model in case size of 39mm for those who prefer a smaller case size and available in a choice of several materials and colours.
The combination of round case and beautifully engraved and finished inline movement turned on its side perfectly complement one another, while the extra embellishment of precious resin and diamonds surrounding the fully visible caliber add color, sparkle, shine, and Art Deco-inspired eye-catching brilliance."
B113/04145 - 113.050.55/0F02 0000R,https://www.corum-watches.com/collections/golden-bridge/rectangle/B113_04145-rose-gold,Corum,Golden Bridge collection,Golden Bridge Rectangle, Rose Gold,,USD,44550.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Rectangle/B113_04145_2000x1300.jpg,Switzerland, 5N 18K rose gold,  29.50 x 42.20,22/18 mm,  9.30 mm,  30 meters / 3 ATM,Alligator,Brown,Triple folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Based on the original Golden Bridge which was indeed rectangular, CORUM introduces the Golden Bridge Rectangle.
The Art Deco-influenced case enhances the beautifully engraved and finished inline movement by adding an astonishing play of finely crafted geometry: 18- karat gold structures representing six Roman numerals surround the completely visible caliber, creating a harmonious nostalgic feel between the shapes, rivets, and materials that reflect the architecture of a bridge."
B313/03498 - 313.101.69/0F01 SB69G,https://www.corum-watches.com/collections/golden-bridge/stream/B313_03498-baguette,Corum,Golden Bridge collection,Golden Bridge Stream, Baguette,,USD,269390.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Stream/B313_03498_2000x1300.jpg,Switzerland," 18K white gold, double antireflective sapphire crystal, sapphire case back, 96 baguette-cut diamonds, ~ 6.57 ct",  31.00 x 42.20 mm,22/18 mm,  14.70 mm,  30 meters / 3 ATM,Alligator,Black,Triple folding clasp,Automatic,CO 313,40 hours,"4 Hz, 28’800 vph",26,"Hour, minute","The Golden Bridge Stream presents itself as a reinvent of the original Golden Bridge, paying homage to the “bridge” that crosses it. 
The design cues for the Golden Bridge Stream comes from a huge phenomenon in (then) contemporary architecture, streamlining. This is embodied by the flowing and extremely dynamic curves of the Golden Bridge Stream and is the epitome of the fusion of shape and substance, defining its own style."
Table Clock - Table Clock,https://www.corum-watches.com/watch/table-clock/,Corum,Golden Bridge collection,Golden Bridge Table Clock,,,,,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/TableClock/Table-Clock-D_2000x1300px.jpg,Switzerland,,,,,,,,,,,,,,,
A082/04368 - 082.202.95/F371 AN25,https://www.corum-watches.com/collections/admiral/38/a082_04368-automatic,Corum,Admiral collection,Admiral 38, Automatic,,USD,5610.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/38/A082_04368_2000x1300.jpg,Switzerland," Titanium grade 5 with black PVD treatment, sapphire crystal with anti-reflective treatment, open back cover in titanium grade 5 with black PVD treatment, glare proof sapphire crystal",  38 mm,18/16 mm,  8.95 mm,  100 meters / 10 ATM,Vulcanized rubber,Black,Pin Buckle,Automatic,CO 082,42 hours,"4 Hz, 28'800 vph",25,"Hour, minute, second, date","This Admiral 38 contemporary line embraces the design identity of the iconic Admiral collection born 60 years ago with its instantly recognizable 12-sided case and nautical pennants on the dial.
While staying true to the Admiral spirit this smaller 38-mm diameter collection writes a new chapter by infusing it with contemporary updates such as a more rounded shape and combining both polished and satin-brushed finishes on the case, and an automatic movement."
A082/04242 - 082.202.42/V800 PN12,https://www.corum-watches.com/collections/admiral/38/a082_04242-automatic,Corum,Admiral collection,Admiral 38, Automatic ,Limited edition: XXX/150,USD,8800.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/38/A082_04242_2000x1300.jpg,Switzerland," Titanium grade 5, 72 round diamonds, ~ 0.65 ct",  38 mm,18/16 mm,  8.95 mm,  100 meters / 10 ATM,Titanium grade 5,,Triple-blade folding clasp,Automatic,CO 082,42 hours,"4 Hz, 28'800 vph",25,"Hour, minute, second, date","This Admiral 38 contemporary line embraces the design identity of the iconic Admiral collection born 60 years ago with its instantly recognizable 12-sided case and nautical pennants on the dial.
While staying true to the Admiral spirit this smaller 38-mm diameter collection writes a new chapter by infusing it with contemporary updates such as a more rounded shape and combining both polished and satin-brushed finishes on the case, and an automatic movement."
A082/04264 - 082.202.44/V800 BR12,https://www.corum-watches.com/collections/admiral/38/a082_04264-automatic,Corum,Admiral collection,Admiral 38, Automatic ,Limited edition: XXX/150,USD,14520.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/38/A082_04264_2000x1300.jpg,Switzerland," Titanium grade 5, bezel in 5N 18K rose gold, 72 round diamonds, ~ 0.65 ct",  38 mm,18/16 mm,  8.95 mm,  100 meters / 10 ATM,Titanium grade 5 and 5N 18K rose gold,,Triple-blade folding clasp,Automatic,CO 082,42 hours,"4 Hz, 28'800 vph",25,"Hour, minute, second, date","This Admiral 38 contemporary line embraces the design identity of the iconic Admiral collection born 60 years ago with its instantly recognizable 12-sided case and nautical pennants on the dial.
While staying true to the Admiral spirit this smaller 38-mm diameter collection writes a new chapter by infusing it with contemporary updates such as a more rounded shape and combining both polished and satin-brushed finishes on the case, and an automatic movement."
A082/04263 - 082.202.44/F372 BR12,https://www.corum-watches.com/collections/admiral/38/a082_04263-automatic,Corum,Admiral collection,Admiral 38, Automatic ,Limited edition: XXX/150,USD,12100.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/38/A082_04263_2000x1300.jpg,Switzerland," Titanium grade 5, bezel in 5N 18K rose gold, 72 round diamonds, ~ 0.65 ct",  38 mm,18/16 mm,  8.95 mm,  100 meters / 10 ATM,Vulcanized rubber,Brown,Triple-blade folding clasp,Automatic,CO 082,42 hours,"4 Hz, 28'800 vph",25,"Hour, minute, second, date","This Admiral 38 contemporary line embraces the design identity of the iconic Admiral collection born 60 years ago with its instantly recognizable 12-sided case and nautical pennants on the dial.
While staying true to the Admiral spirit this smaller 38-mm diameter collection writes a new chapter by infusing it with contemporary updates such as a more rounded shape and combining both polished and satin-brushed finishes on the case, and an automatic movement."
A082/04262 - 082.202.44/V800 AA25,https://www.corum-watches.com/collections/admiral/38/a082_04262-automatic,Corum,Admiral collection,Admiral 38, Automatic ,,USD,14410.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/38/A082_04262_2000x1300.jpg,Switzerland," Titanium grade 5, bezel in 5N 18K rose gold, 72 round diamonds, ~ 0.65 ct",  38 mm,18/16 mm,  8.95 mm,  100 meters / 10 ATM,Titanium grade 5 and 5N 18K rose gold,,Triple-blade folding clasp,Automatic,CO 082,42 hours,"4 Hz, 28'800 vph",25,"Hour, minute, second, date","This Admiral 38 contemporary line embraces the design identity of the iconic Admiral collection born 60 years ago with its instantly recognizable 12-sided case and nautical pennants on the dial.
While staying true to the Admiral spirit this smaller 38-mm diameter collection writes a new chapter by infusing it with contemporary updates such as a more rounded shape and combining both polished and satin-brushed finishes on the case, and an automatic movement."
A082/04244 - 082.202.44/F379 AA25,https://www.corum-watches.com/collections/admiral/38/a082_04244-automatic,Corum,Admiral collection,Admiral 38, Automatic,,USD,11990.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/38/A082_04244_2000x1300.jpg,Switzerland," Titanium grade 5, bezel in 5N 18K rose gold, 72 round diamonds, ~ 0.65 ct",  38 mm,18/16 mm,  8.95 mm,  100 meters / 10 ATM,Vulcanized rubber,White,Triple-blade folding clasp,Automatic,CO 082,42 hours,"4 Hz, 28'800 vph",25,"Hour, minute, second, date","This Admiral 38 contemporary line embraces the design identity of the iconic Admiral collection born 60 years ago with its instantly recognizable 12-sided case and nautical pennants on the dial.
While staying true to the Admiral spirit this smaller 38-mm diameter collection writes a new chapter by infusing it with contemporary updates such as a more rounded shape and combining both polished and satin-brushed finishes on the case, and an automatic movement."
A082/04243 - 082.202.04/V800 AA25,https://www.corum-watches.com/collections/admiral/38/a082_04243-automatic,Corum,Admiral collection,Admiral 38, Automatic,,USD,5830.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/38/A082_04243_2000x1300.jpg,Switzerland, Titanium grade 5,  38 mm,18/16 mm,  8.95 mm,  100 meters / 10 ATM,Titanium grade 5,White,Triple-blade folding clasp,Automatic,CO 082,42 hours,"4 Hz, 28'800 vph",25,"Hour, minute, second, date","This Admiral 38 contemporary line embraces the design identity of the iconic Admiral collection born 60 years ago with its instantly recognizable 12-sided case and nautical pennants on the dial.
While staying true to the Admiral spirit this smaller 38-mm diameter collection writes a new chapter by infusing it with contemporary updates such as a more rounded shape and combining both polished and satin-brushed finishes on the case, and an automatic movement."
A395/04461 - 395.600.92/F371 BB10,https://www.corum-watches.com/collections/admiral/42/a395_04461-automatic,Corum,Admiral collection,Admiral 42, Automatic ,Limited edition: XX/50,USD,16390.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04461_2000x1300_b.jpg,Switzerland, Black ceramic,  42 mm,21/18 mm,  10.30 mm,  50 meters / 5 ATM,Nylon (Nato),Black,Pin buckle,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04506 - 395.601.92/F379 WC10,https://www.corum-watches.com/collections/admiral/42/a395_04506-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,20460.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04506_2000x1300.jpg,Switzerland," White ceramic, bezel in 5N 18K rose gold",  42 mm,21/18 mm,  10.30 mm,  50 meters / 5 ATM,Vulcanized rubber,White,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04462 - 395.600.92/F379 WC10,https://www.corum-watches.com/collections/admiral/42/a395_04462-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,16390.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04462_2000x1300.jpg,Switzerland, White ceramic,  42 mm,21/18 mm,  10.30 mm,  50 meters / 5 ATM,Vulcanized rubber,White,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04451 - 395.600.92/F371 BG10,https://www.corum-watches.com/collections/admiral/42/a395_04451-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,19910.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04451_2000x1300_b.jpg,Switzerland," Black ceramic, 5N 18kt rose gold bezel",  42 mm,21/18 mm,  10.30 mm,  50 meters / 5 ATM,Vulcanized rubber,Black,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04460 - 395.600.92/F379 WG10,https://www.corum-watches.com/collections/admiral/42/a395_04460-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,19910.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04460_2000x1300_b.jpg,Switzerland," White ceramic, 5N 18kt rose gold bezel",  42 mm,21/18 mm,  10.30 mm,  50 meters / 5 ATM,Vulcanized rubber,White,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04324 - 395.201.98/V800 AN90,https://www.corum-watches.com/collections/admiral/42/a395_04324-automatic,Corum,Admiral collection,Admiral 42, Automatic ,Limited edition: XX/100,USD,5500.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04324_2000x1300.jpg,Switzerland," Stainless steel, sandblast, anti-fingerprint coating, gunmetal grey DLC treatment",  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,"Stainless steel, sandblast, anti-fingerprint coating, gunmetal grey DLC treatment",,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04319 - 395.201.53/0F41 DP60,https://www.corum-watches.com/collections/admiral/42/a395_04319,Corum,Admiral collection,Admiral 42, Automatic  ,Limited edition: XX/100,USD,5720.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04319_2000x1300.jpg,Switzerland, Bronze,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Calfskin leather,Burgundy,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04320 - 395.201.53/0F62 AG60,https://www.corum-watches.com/collections/admiral/42/a395_04320,Corum,Admiral collection,Admiral 42, Automatic  ,Limited edition: XX/100,USD,5720.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04320_2000x1300.jpg,Switzerland, Bronze,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Calfskin leather,Brown,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04293 - 395.110.20/0F03 AB60,https://www.corum-watches.com/collections/admiral/42/a395_04293-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,5170.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04293_2000x1300.jpg,Switzerland, Stainless steel,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Alligator leather,Blue,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution ,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04291 - 395.110.20/V720 AB60,https://www.corum-watches.com/collections/admiral/42/a395_04291-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,5390.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04291_2000x1300.jpg,Switzerland, Stainless steel,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Stainless steel,,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution ,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
